epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1342.03,0.66721,0.42415,0.85874,0.71833,0.68,0.69939,0.47085,0.64576,0.45982,0.84106,0.000675546,0.000675546,0.000675546
43,1371.43,0.65053,0.41037,0.85772,0.76888,0.68242,0.73467,0.49036,0.59843,0.42962,0.83288,0.00066191,0.00066191,0.00066191
44,1400.55,0.63544,0.4084,0.85398,0.75921,0.68865,0.71295,0.48217,0.60901,0.44562,0.83828,0.000648164,0.000648164,0.000648164
45,1428.8,0.65209,0.41916,0.85313,0.73185,0.69499,0.72014,0.47998,0.59585,0.44222,0.83218,0.000634322,0.000634322,0.000634322
46,1457.15,0.64509,0.4119,0.85626,0.75977,0.67881,0.74238,0.5118,0.61198,0.43356,0.83041,0.000620396,0.000620396,0.000620396
47,1488.25,0.62173,0.40096,0.85161,0.76482,0.70754,0.74549,0.50195,0.60848,0.42841,0.82995,0.0006064,0.0006064,0.0006064
48,1516.12,0.61619,0.39138,0.84948,0.7641,0.6546,0.72405,0.48732,0.60955,0.43155,0.83422,0.000592349,0.000592349,0.000592349
49,1545.67,0.63062,0.40215,0.8549,0.7251,0.6317,0.70416,0.46835,0.68518,0.45541,0.84773,0.000578256,0.000578256,0.000578256
50,1574.63,0.62051,0.39665,0.85032,0.71486,0.69415,0.72491,0.50015,0.70715,0.45075,0.84785,0.000564135,0.000564135,0.000564135
51,1603.76,0.6236,0.39616,0.8497,0.71211,0.6994,0.73319,0.51298,0.58916,0.4255,0.82729,0.00055,0.00055,0.00055
52,1634.58,0.64161,0.40049,0.85349,0.79514,0.67292,0.73736,0.5102,0.58799,0.42907,0.83321,0.000535865,0.000535865,0.000535865
53,1664.91,0.60721,0.38284,0.84709,0.81037,0.67449,0.73894,0.51304,0.5951,0.42671,0.83314,0.000521744,0.000521744,0.000521744
54,1699.51,0.60803,0.37897,0.84654,0.73764,0.72975,0.75706,0.52208,0.58436,0.41726,0.83001,0.000507651,0.000507651,0.000507651
55,1735.24,0.60792,0.3841,0.84758,0.77938,0.61426,0.72501,0.50463,0.60554,0.42179,0.83145,0.0004936,0.0004936,0.0004936
56,1764.26,0.58903,0.36621,0.84443,0.7523,0.65081,0.73551,0.52835,0.58485,0.41589,0.8303,0.000479604,0.000479604,0.000479604
57,1804.93,0.59134,0.36849,0.84729,0.73407,0.72132,0.7638,0.53143,0.5734,0.42286,0.82877,0.000465678,0.000465678,0.000465678
58,1836.55,0.58817,0.37177,0.84189,0.81642,0.67329,0.73323,0.52,0.57676,0.42599,0.82673,0.000451836,0.000451836,0.000451836
59,1865.1,0.57757,0.36478,0.84095,0.81283,0.68777,0.71272,0.49913,0.56827,0.42248,0.8251,0.00043809,0.00043809,0.00043809
60,1892.65,0.58792,0.36167,0.84016,0.76772,0.72718,0.7354,0.5189,0.5615,0.41693,0.8234,0.000424454,0.000424454,0.000424454
61,1920.45,0.57911,0.35684,0.83626,0.75396,0.70927,0.72178,0.51175,0.55104,0.41317,0.8224,0.000410942,0.000410942,0.000410942
62,1950.66,0.59081,0.36534,0.8409,0.74771,0.6954,0.75008,0.51643,0.56079,0.4099,0.8254,0.000397568,0.000397568,0.000397568
63,1982.43,0.57506,0.35531,0.83881,0.71142,0.76987,0.77344,0.53182,0.56658,0.41214,0.82769,0.000384344,0.000384344,0.000384344
64,2018.54,0.57633,0.3584,0.83351,0.80641,0.70391,0.73701,0.51936,0.59094,0.42251,0.82968,0.000371283,0.000371283,0.000371283
65,2047.27,0.58183,0.35902,0.83842,0.78852,0.6592,0.72108,0.53045,0.55645,0.40846,0.82725,0.000358399,0.000358399,0.000358399
66,2076.1,0.57662,0.36078,0.84025,0.74946,0.67806,0.74384,0.5329,0.56862,0.40972,0.82685,0.000345704,0.000345704,0.000345704
67,2111.34,0.56951,0.35247,0.83795,0.816,0.70192,0.73329,0.53099,0.55269,0.40794,0.82616,0.000333211,0.000333211,0.000333211
68,2141.07,0.57035,0.35373,0.83796,0.68567,0.73168,0.73977,0.52483,0.56372,0.41229,0.82788,0.000320931,0.000320931,0.000320931
69,2170.08,0.56022,0.35037,0.83817,0.65789,0.73437,0.7253,0.50547,0.55867,0.40435,0.82576,0.000308878,0.000308878,0.000308878
70,2198.67,0.56402,0.35148,0.83893,0.70552,0.73754,0.73927,0.51114,0.5732,0.40826,0.82828,0.000297062,0.000297062,0.000297062
71,2227.33,0.55565,0.34309,0.83544,0.7813,0.69807,0.75231,0.52732,0.55519,0.39797,0.82502,0.000285497,0.000285497,0.000285497
72,2258.47,0.56387,0.34676,0.83939,0.71976,0.7169,0.74614,0.52847,0.54744,0.39985,0.82322,0.000274192,0.000274192,0.000274192
73,2289.39,0.54117,0.33397,0.83366,0.78823,0.67228,0.74065,0.52207,0.55007,0.39877,0.82427,0.000263159,0.000263159,0.000263159
74,2317.54,0.54594,0.33331,0.83602,0.70214,0.71816,0.74799,0.53904,0.54005,0.39194,0.82175,0.00025241,0.00025241,0.00025241
75,2352.03,0.53828,0.33088,0.83056,0.7003,0.72954,0.75013,0.53688,0.55232,0.398,0.82296,0.000241954,0.000241954,0.000241954
76,2381.36,0.53859,0.33178,0.8308,0.77053,0.65775,0.73709,0.52054,0.54234,0.39739,0.82199,0.000231802,0.000231802,0.000231802
77,2410.69,0.54459,0.33073,0.83326,0.78673,0.65226,0.75843,0.53831,0.53529,0.39389,0.82077,0.000221964,0.000221964,0.000221964
78,2443.49,0.54625,0.33146,0.8318,0.82081,0.7181,0.78421,0.57561,0.5371,0.38597,0.82352,0.00021245,0.00021245,0.00021245
79,2475,0.53879,0.32672,0.83093,0.76188,0.75582,0.76891,0.56375,0.542,0.38535,0.82271,0.000203269,0.000203269,0.000203269
80,2504.86,0.52212,0.32064,0.83049,0.76763,0.7205,0.76819,0.55742,0.53824,0.38935,0.81859,0.00019443,0.00019443,0.00019443
81,2533.35,0.53239,0.3211,0.82775,0.77811,0.71778,0.76704,0.55474,0.53786,0.39521,0.81936,0.000185942,0.000185942,0.000185942
82,2565.88,0.52401,0.31918,0.82427,0.6928,0.7423,0.75755,0.54296,0.5419,0.39105,0.82093,0.000177814,0.000177814,0.000177814
83,2596.13,0.52675,0.31916,0.82624,0.77533,0.6885,0.75221,0.54341,0.55565,0.39041,0.82244,0.000170052,0.000170052,0.000170052
84,2623.94,0.52992,0.32312,0.82698,0.7157,0.7416,0.75554,0.54739,0.54517,0.38268,0.82005,0.000162666,0.000162666,0.000162666
85,2652.54,0.53035,0.31758,0.82693,0.70082,0.75573,0.74638,0.54208,0.525,0.38442,0.8195,0.000155662,0.000155662,0.000155662
86,2681.25,0.51997,0.30973,0.82425,0.7296,0.73161,0.75319,0.53944,0.53179,0.38634,0.82048,0.000149047,0.000149047,0.000149047
87,2711.64,0.51407,0.31146,0.82583,0.7446,0.72057,0.74857,0.5312,0.52802,0.38345,0.81945,0.000142828,0.000142828,0.000142828
88,2740.97,0.50977,0.30937,0.82428,0.75233,0.74384,0.75896,0.54929,0.5273,0.38012,0.81887,0.00013701,0.00013701,0.00013701
89,2770.04,0.51268,0.30931,0.8264,0.75843,0.75728,0.75969,0.54861,0.52527,0.37639,0.8174,0.000131601,0.000131601,0.000131601
90,2797.9,0.51574,0.31244,0.82486,0.74141,0.73021,0.75598,0.54956,0.52263,0.37378,0.8166,0.000126604,0.000126604,0.000126604
